Date,Company,Sentiment Score
30/03/2022,3MINDIA,0.5
12/04/2022,3MINDIA,0.81245
10/05/2022,3MINDIA,0.5
22/06/2022,3MINDIA,0.5
21/07/2022,3MINDIA,0.6591
11/08/2022,3MINDIA,0.5
26/09/2022,3MINDIA,0.648
09/11/2022,3MINDIA,0.2798
23/01/2023,3MINDIA,0.648
31/01/2023,3MINDIA,0.648
07/03/2023,3MINDIA,0.5
12/04/2023,3MINDIA,0.812
24/05/2023,3MINDIA,0.5
13/06/2023,3MINDIA,0.5
14/07/2023,3MINDIA,0.39885
10/08/2023,3MINDIA,0.79295
08/09/2023,3MINDIA,0.6806
20/10/2023,3MINDIA,0.60115
10/11/2023,3MINDIA,0.8454
24/11/2023,3MINDIA,0.81845
17/01/2024,3MINDIA,0.648
08/02/2024,3MINDIA,0.7202
15/03/2024,3MINDIA,0.70095
19/04/2024,3MINDIA,0.7202
16/05/2024,3MINDIA,0.5
28/05/2024,3MINDIA,0.5
19/06/2024,3MINDIA,0.61315
06/08/2024,3MINDIA,0.7202
20/08/2024,3MINDIA,0.67
15/10/2024,3MINDIA,0.648
13/11/2024,3MINDIA,0.375
09/12/2024,3MINDIA,0.60115
24/12/2024,3MINDIA,0.648
07/02/2025,3MINDIA,0.7202
11/03/2025,3MINDIA,0.5
21/03/2025,3MINDIA,0.5
08/07/2022,360ONE,0.74695
15/11/2022,360ONE,0.74695
23/01/2023,360ONE,0.648
04/03/2023,360ONE,0.5
31/03/2023,360ONE,0.74695
05/05/2023,360ONE,0.6909
02/06/2023,360ONE,0.81245
21/07/2023,360ONE,0.85015
20/08/2023,360ONE,0.5
31/08/2023,360ONE,0.5
27/09/2023,360ONE,0.82985
14/11/2023,360ONE,0.8062
07/12/2023,360ONE,0.8753
11/01/2024,360ONE,0.5
19/02/2024,360ONE,0.2798
18/03/2024,360ONE,0.5
15/04/2024,360ONE,0.6591
23/04/2024,360ONE,0.7997
12/06/2024,360ONE,0.83525
28/06/2024,360ONE,0.86345
12/08/2024,360ONE,0.5
23/08/2024,360ONE,0.67
10/10/2024,360ONE,0.71785
22/10/2024,360ONE,0.648
13/12/2024,360ONE,0.7553
07/01/2025,360ONE,0.5
14/02/2025,360ONE,0.5386
14/02/2025,360ONE,0.5386
20/03/2025,360ONE,0.8982
20/01/2022,ABB,0.5
28/02/2022,ABB,0.5
30/03/2022,ABB,0.6909
08/04/2022,ABB,0.57655
05/05/2022,ABB,0.7553
08/06/2022,ABB,0.6591
20/07/2022,ABB,0.5
10/08/2022,ABB,0.7202
07/09/2022,ABB,0.5
03/10/2022,ABB,0.5
11/11/2022,ABB,0.7787
10/12/2022,ABB,0.5
28/12/2022,ABB,0.6366
13/02/2023,ABB,0.8121
25/02/2023,ABB,0.5
25/04/2023,ABB,0.5
04/05/2023,ABB,0.7553
12/06/2023,ABB,0.648
30/06/2023,ABB,0.5
11/08/2023,ABB,0.7202
06/09/2023,ABB,0.352
18/10/2023,ABB,0.5
20/11/2023,ABB,0.5
11/12/2023,ABB,0.5
01/01/2024,ABB,0.83525
20/02/2024,ABB,0.5
21/02/2024,ABB,0.648
18/04/2024,ABB,0.5386
13/05/2024,ABB,0.7202
05/06/2024,ABB,0.7294
18/07/2024,ABB,0.5
12/08/2024,ABB,0.5
22/08/2024,ABB,0.5
01/10/2024,ABB,0.5
05/11/2024,ABB,0.42345
29/11/2024,ABB,0.5
14/01/2025,ABB,0.61315
30/01/2025,ABB,0.648
21/02/2025,ABB,0.648
20/03/2025,ABB,0.60115
23/04/2022,AIAENG,0.8953
09/05/2022,AIAENG,0.5
21/07/2022,AIAENG,0.5
09/08/2022,AIAENG,0.5
19/09/2022,AIAENG,0.74695
31/01/2023,AIAENG,0.5
01/04/2023,AIAENG,0.63775
09/06/2023,AIAENG,0.8404
02/08/2023,AIAENG,0.7997
11/10/2023,AIAENG,0.936
22/11/2023,AIAENG,0.70095
22/11/2023,AIAENG,0.70095
07/02/2024,AIAENG,0.70095
18/03/2024,AIAENG,0.5
14/05/2024,AIAENG,0.5
13/06/2024,AIAENG,0.60115
19/07/2024,AIAENG,0.4623
07/08/2024,AIAENG,0.7997
19/08/2024,AIAENG,0.5
30/09/2024,AIAENG,0.5
30/10/2024,AIAENG,0.7202
10/12/2024,AIAENG,0.29905
17/12/2024,AIAENG,0.39885
17/01/2025,AIAENG,0.5
19/02/2025,AIAENG,0.5
17/03/2025,AIAENG,0.5
06/01/2022,ACC,0.5
01/02/2022,ACC,0.7202
23/03/2022,ACC,0.6806
14/04/2022,ACC,0.5
16/05/2022,ACC,0.5
03/06/2022,ACC,0.5
06/07/2022,ACC,0.648
26/08/2022,ACC,0.5
28/09/2022,ACC,0.7553
28/09/2022,ACC,0.7553
23/11/2022,ACC,0.76335
06/12/2022,ACC,0.5
23/01/2023,ACC,0.76335
27/01/2023,ACC,0.5258
10/03/2023,ACC,0.3194
30/03/2023,ACC,0.5
28/04/2023,ACC,0.81245
23/06/2023,ACC,0.6366
28/06/2023,ACC,0.83525
28/07/2023,ACC,0.5
06/09/2023,ACC,0.436
16/10/2023,ACC,0.9375
26/10/2023,ACC,0.78595
08/12/2023,ACC,0.79295
08/01/2024,ACC,0.5
02/02/2024,ACC,0.5
23/02/2024,ACC,0.5
16/04/2024,ACC,0.5
25/04/2024,ACC,0.7202
24/05/2024,ACC,0.73835
27/06/2024,ACC,0.5
30/07/2024,ACC,0.81245
11/09/2024,ACC,0.648
17/10/2024,ACC,0.7997
24/10/2024,ACC,0.648
03/12/2024,ACC,0.67
13/01/2025,ACC,0.5386
16/01/2025,ACC,0.8454
25/02/2025,ACC,0.6872
17/03/2025,ACC,0.7294
25/01/2022,APLAPOLLO,0.88915
21/03/2022,APLAPOLLO,0.648
02/04/2022,APLAPOLLO,0.70095
23/05/2022,APLAPOLLO,0.5129
30/06/2022,APLAPOLLO,0.5
30/06/2022,APLAPOLLO,0.5
25/08/2022,APLAPOLLO,0.5
09/09/2022,APLAPOLLO,0.70095
03/10/2022,APLAPOLLO,0.6366
31/10/2022,APLAPOLLO,0.5
17/12/2022,APLAPOLLO,0.648
23/01/2023,APLAPOLLO,0.648
22/03/2023,APLAPOLLO,0.5
03/04/2023,APLAPOLLO,0.6591
22/05/2023,APLAPOLLO,0.5
12/06/2023,APLAPOLLO,0.5
11/07/2023,APLAPOLLO,0.6366
17/08/2023,APLAPOLLO,0.5
29/08/2023,APLAPOLLO,0.67
12/10/2023,APLAPOLLO,0.5
30/10/2023,APLAPOLLO,0.625
07/12/2023,APLAPOLLO,0.875
01/01/2024,APLAPOLLO,0.5
13/02/2024,APLAPOLLO,0.3634
21/02/2024,APLAPOLLO,0.81845
03/04/2024,APLAPOLLO,0.5
17/05/2024,APLAPOLLO,0.73835
08/06/2024,APLAPOLLO,0.5
01/07/2024,APLAPOLLO,0.8404
10/08/2024,APLAPOLLO,0.7202
23/08/2024,APLAPOLLO,0.5
30/09/2024,APLAPOLLO,0.5
30/10/2024,APLAPOLLO,0.7202
10/12/2024,APLAPOLLO,0.7202
01/01/2025,APLAPOLLO,0.5
17/01/2025,APLAPOLLO,0.67
25/02/2025,APLAPOLLO,0.648
19/03/2025,APLAPOLLO,0.5
19/02/2022,AADHARHFC,0.3634
16/03/2022,AADHARHFC,0.38685
22/04/2022,AADHARHFC,0.5
22/06/2022,AADHARHFC,0.5258
26/10/2022,AADHARHFC,0.5
29/10/2022,AADHARHFC,0.5
16/12/2022,AADHARHFC,0.5
26/01/2023,AADHARHFC,0.5
26/01/2023,AADHARHFC,0.5
09/03/2023,AADHARHFC,0.70095
25/04/2023,AADHARHFC,0.5
05/05/2023,AADHARHFC,0.5
13/06/2023,AADHARHFC,0.12105
20/07/2023,AADHARHFC,0.099
07/08/2023,AADHARHFC,0.5
25/08/2023,AADHARHFC,0.5386
27/09/2023,AADHARHFC,0.5
07/11/2023,AADHARHFC,0.5
23/11/2023,AADHARHFC,0.73835
16/01/2024,AADHARHFC,0.5
02/02/2024,AADHARHFC,0.5
24/02/2024,AADHARHFC,0.5
